zip	latitude	longitude
00501	40.8	-73.0
00544	40.8	-73.0
01001	42.1	-72.6
01002	42.4	-72.5
01003	42.4	-72.5
01004	42.4	-72.5
01005	42.4	-72.1
01007	42.3	-72.4
01008	42.2	-72.9
01009	42.2	-72.3
01010	42.1	-72.2
01011	42.3	-73.0
01012	42.4	-72.8
01013	42.1	-72.6
01014	42.2	-72.6
01020	42.2	-72.6
01021	42.2	-72.6
01022	42.2	-72.6
01026	42.5	-72.9
01027	42.3	-72.7
01028	42.1	-72.5
01029	42.2	-73.1
01030	42.1	-72.7
01031	42.3	-72.2
01032	42.4	-72.8
01033	42.3	-72.5
01034	42.1	-73.0
01035	42.4	-72.6
01036	42.1	-72.4
01037	42.3	-72.2
01038	42.4	-72.6
01039	42.4	-72.7
01040	42.2	-72.6
01041	42.2	-72.6
01050	42.3	-72.9
01053	42.4	-72.7
01054	42.5	-72.5
01056	42.2	-72.5
01057	42.1	-72.3
01059	42.4	-72.5
01060	42.3	-72.6
01061	42.4	-72.6
01062	42.3	-72.7
01063	42.3	-72.6
01066	42.4	-72.6
01068	42.3	-72.1
01069	42.2	-72.3
01070	42.5	-72.9
01071	42.1	-72.8
01072	42.5	-72.4
01073	42.2	-72.7
01074	42.4	-72.1
01075	42.2	-72.6
01077	42.1	-72.8
01079	42.2	-72.3
01080	42.2	-72.4
01081	42.1	-72.2
01082	42.3	-72.3
01083	42.2	-72.2
01084	42.4	-72.9
01085	42.1	-72.7
01086	42.2	-72.8
01088	42.4	-72.6
01089	42.1	-72.6
01090	42.2	-72.6
01092	42.2	-72.2
01093	42.4	-72.7
01094	42.4	-72.1
01095	42.1	-72.4
01096	42.4	-72.8
01097	42.2	-72.8
01098	42.4	-72.9
01101	42.1	-72.6
01102	42.2	-72.6
01103	42.1	-72.6
01104	42.1	-72.6
01105	42.1	-72.6
01106	42.1	-72.6
01107	42.1	-72.6
01108	42.1	-72.6
01109	42.1	-72.6
01111	42.2	-72.6
01115	42.1	-72.6
01116	42.2	-72.6
01118	42.1	-72.5
01119	42.1	-72.5
01128	42.1	-72.5
01129	42.1	-72.5
01138	42.2	-72.6
01139	42.2	-72.6
01144	42.1	-72.6
01151	42.2	-72.5
01152	42.2	-72.6
01199	42.1	-72.6
01201	42.5	-73.2
01202	42.4	-73.2
01203	42.4	-73.2
01220	42.6	-73.1
01222	42.1	-73.3
01223	42.4	-73.1
01224	42.5	-73.2
01225	42.6	-73.2
01226	42.5	-73.2
01227	42.5	-73.2
01229	42.3	-73.3
01230	42.2	-73.4
01235	42.4	-73.1
01236	42.3	-73.4
01237	42.5	-73.2
01238	42.3	-73.2
01240	42.4	-73.3
01242	42.3	-73.3
01243	42.4	-73.0
01244	42.1	-73.3
01245	42.2	-73.2
01247	42.7	-73.1
01252	42.2	-73.4
01253	42.2	-73.1
01254	42.4	-73.4
01255	42.1	-73.1
01256	42.6	-73.0
01257	42.1	-73.4
01258	42.1	-73.5
01259	42.1	-73.3
01260	42.3	-73.3
01262	42.3	-73.3
01263	42.4	-73.2
01264	42.2	-73.2
01266	42.3	-73.4
01267	42.7	-73.2
01270	42.5	-73.0
01301	42.6	-72.6
01302	42.5	-72.6
01330	42.5	-72.8
01331	42.6	-72.2
01337	42.7	-72.6
01338	42.6	-72.8
